Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Cross,-2.36887598425994E-09,6.86024698058002E-09,7.23837040835466E-08,0,0,0,0.113153796633628,0.000168367866604863,-5.26684924025301E-12,-2.60273835718829E-12,8.47639452117596E-05,5.67116897297494E-17,8.47639968505591E-05,0,0,0,0,0,0,package://CatModel2/meshes/Cross.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://CatModel2/meshes/Cross.STL,,Cross-1,Coordinate System_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Chset,0.104539401366541,-2.01621244951154E-05,0.00199155261541815,0,0,0,1.27226284554368,0.00255686763387815,1.33312993805634E-06,-2.99664267243253E-07,0.00151466436913898,4.31801099234721E-07,0.00191207554949256,0,0,0,0,0,0,package://CatModel2/meshes/Chset.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/Chset.STL,,Chest-2,Coordinate System_front_rigidi,axis_front_rigid,Chest,revolute,0,0,0,0,-0.57282,0,Cross,0,1,0,15,10.466,-0.52,0.52,,,,,,,,
LF_abad,-0.00315731503471477,-0.0157630614011298,0.000227202912327459,0,0,0,0.0419114568273025,1.07554121115931E-05,-2.15175894008892E-08,-2.57374378273883E-10,2.05011185239708E-05,2.96687209794454E-09,1.21095277275058E-05,0,0,0,0,0,0,package://CatModel2/meshes/LF_abad.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/LF_abad.STL,,A2-1,lCoordinate System_eft_front_1_1,axis_left_front_1_1,LF_abad,revolute,0.212,0.065,0,0,0,0,Chset,-1,0,0,9.6,5.233,-0.52,0.52,,,,,,,,
LF_hip,-0.00243046488327595,-0.011112656728708,-0.0480003348020764,0,0,0,0.314940626414665,0.000594291196733731,1.06224043635234E-07,-2.17866578465269E-05,0.000651542828739686,-8.47333404135857E-07,7.11737574291626E-05,0,0,0,0,0,0,package://CatModel2/meshes/LF_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/LF_hip.STL,,left_leg1-1,Coordinate System_left_front_1_2,axis_left_front_1_2,LF_hip,continuous,0,0.074,0,0,-0.026822,0,LF_abad,0,-1,0,9.6,5.233,0,1.57,,,,,,,,
LF_knee,0.00561755093046278,0.000301101032891854,-0.0903666836811455,0,0,0,0.109679028133934,0.000181176674288961,6.8497866262947E-08,1.72571263996097E-05,0.000189177473520563,-1.19481690597446E-06,1.26617827767227E-05,0,0,0,0,0,0,package://CatModel2/meshes/LF_knee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/LF_knee.STL,,left_leg2-1,Coordinate System_left_front_1_3,axis_left_front_1_3,LF_knee,revolute,0,0,-0.16,3.1416,1.0526,3.1416,LF_hip,0,1,0,15,10.466,-2.686,-1.256,,,,,,,,
RF_abad,-0.00315731503973792,0.0157630613984146,-0.000227202903724633,0,0,0,0.0419114568371167,1.0755412112407E-05,2.15175896810622E-08,2.57376924907662E-10,2.05011185252329E-05,2.96687245223769E-09,1.21095277281205E-05,0,0,0,0,0,0,package://CatModel2/meshes/RF_abad.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/RF_abad.STL,,A2-2,Coordinate System_right_front_2_1,axis_right_front_2_1,RF_abad,revolute,0.212,-0.065,0,0,0,0,Chset,-1,0,0,9.6,5.233,-0.52,0.52,,,,,,,,
RF_hip,-0.00293006849986141,0.0111126338635463,-0.0481325315861406,0,0,0,0.314940960599133,0.00059459595957455,4.23723881541258E-07,-3.16399196720918E-05,0.000651543290902422,8.93977706686632E-07,7.08694567016182E-05,0,0,0,0,0,0,package://CatModel2/meshes/RF_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/RF_hip.STL,,right_leg-1,Coordinate System_right_front_2_2,axis_right_front_2_2,RF_hip,revolute,0,-0.074,0,0,-0.026822,0,RF_abad,0,1,0,9.6,5.233,0,1.57,,,,,,,,
RF_knee,0.0057361734222746,-0.000308939783191214,-0.088488367824386,0,0,0,0.106646958451677,0.0001810316756261,-6.840967726939E-08,1.72986379221257E-05,0.000189007894340882,1.19485945084853E-06,1.26261291969592E-05,0,0,0,0,0,0,package://CatModel2/meshes/RF_knee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/RF_knee.STL,,right_leg2-1,Coordinate System_right_front_2_3,axis_right_front_2_3,right_knee,revolute,0,0,-0.16,3.1416,-0.15731,-3.1416,RF_hip,0,-1,0,15,10.466,-2.686,-1.256,,,,,,,,
Base,-0.104866519097141,-0.000200131242715715,0.00196670518984567,0,0,0,1.2520876747788,0.00253418595656046,-3.60836540668734E-08,-1.55285181148202E-07,0.00154222832881662,4.07833979931759E-08,0.00183756574635262,0,0,0,0,0,0,package://CatModel2/meshes/Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/Base.STL,,Base-2,Coordinate System_back_ragid,axis_back_rigid,Base,revolute,0,0,0,0,0,0,Cross,0,0,1,15,10.466,-0.52,0.52,,,,,,,,
LH_abad,0.00315731228081689,-0.0157630634983849,-0.000227202943482577,0,0,0,0.0419114512334411,1.07554116705623E-05,2.1517601323664E-08,-2.57343118825613E-10,2.05011179838274E-05,-2.96677366275741E-09,1.21095272230384E-05,0,0,0,0,0,0,package://CatModel2/meshes/LH_abad.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/LH_abad.STL,,A2-3,Coordinate System_left_rear_3_1,axis_left_rear_3_1,LH_abad,revolute,-0.212,0.065,0,0,0,0,Base,1,0,0,9.6,5.233,-0.52,0.52,,,,,,,,
LH_hip,-0.00261060966947746,-0.0111126568628543,-0.0453239292311085,0,0,0,0.31494062640954,0.000594897165702347,1.49898168266193E-08,-2.64691530400208E-05,0.000651542828738764,-1.91453340197307E-06,7.05677884596025E-05,0,0,0,0,0,0,package://CatModel2/meshes/LH_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/LH_hip.STL,,left_leg1-2,Coordinate System_left_rear_3_2,axis_left_rear_3_2,LH_hip,revolute,0,0.074,0,0,-0.59964,0,LH_abad,0,-1,0,9.6,5.233,0,1.57,,,,,,,,
LH_knee,0.00561755100792938,0.000301101241921481,-0.0903666841961551,0,0,0,0.109679032714885,0.000181176659269156,6.84977743796153E-08,1.72571308921416E-05,0.000189177466092634,-1.19481707528627E-06,1.26617899745287E-05,0,0,0,0,0,0,package://CatModel2/meshes/LH_knee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/LH_knee.STL,,left_leg2-3,Coordinate System_left_rear_3_3,axis_left_rear_3_3,LH_knee,revolute,0,0,-0.16,0,-0.3032,0,LH_hip,0,1,0,15,10.466,-2.686,-1.256,,,,,,,,
RH_abad,0.00315731228081695,0.0157630634983865,0.000227202943490899,0,0,0,0.041911451233441,1.07554116705622E-05,-2.15176013236536E-08,2.57343118826748E-10,2.05011179838273E-05,-2.96677366276177E-09,1.21095272230384E-05,0,0,0,0,0,0,package://CatModel2/meshes/RH_abad.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/RH_abad.STL,,A2-4,Coordinate System_right_rear_4_1,axis_right_rear_4_1,RH_abad,revolute,-0.212,-0.065,0,0,0,0,Base,1,0,0,9.6,5.233,-0.52,0.52,,,,,,,,
RH_hip,-0.00121771777274157,0.0111126311483641,-0.0465691992833869,0,0,0,0.31494099996697,0.000595250316400976,6.36073467517975E-07,-2.70738278482031E-05,0.000651543359774013,1.54882059560898E-06,7.02151686679286E-05,0,0,0,0,0,0,package://CatModel2/meshes/RH_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/RH_hip.STL,,right_leg-2,Coordinate System_right_rear_4_2,axis_right_rear_4_2,RH_hip,revolute,0,-0.074,0,0,-0.91981,0,RH_abad,0,1,0,9.6,5.233,0,1.57,,,,,,,,
RH_knee,0.00573618217536953,-0.000308939776447942,-0.0884883618564003,0,0,0,0.106646978246544,0.00018103168186845,-6.84128596529973E-08,1.72975770397883E-05,0.000189007967097882,1.19485505493659E-06,1.26261947469519E-05,0,0,0,0,0,0,package://CatModel2/meshes/RH_knee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CatModel2/meshes/RH_knee.STL,,right_leg2-2,Coordinate System_right_rear_4_3,axis_right_rear_4_3,RH_knee,revolute,0,0,-0.16,0,1.0013,0,RH_hip,0,-1,0,15,10.466,-2.686,-1.256,,,,,,,,
